DEF_PRTY_2,Time,Count,C
RED,15,1,0.000932836
RED,15,2,0.001865672
RED,21,3,0.002798507
RED,21,4,0.003731343
RED,22,5,0.004664179
RED,22,6,0.005597015
RED,22,7,0.006529851
RED,22,8,0.007462687
RED,22,9,0.008395522
RED,22,10,0.009328358
RED,22,11,0.010261194
RED,22,12,0.01119403
RED,22,13,0.012126866
RED,22,14,0.013059701
RED,22.5,15,0.013992537
RED,22.5,16,0.014925373
RED,23,17,0.015858209
RED,24.5,18,0.016791045
RED,24.5,19,0.017723881
RED,25,20,0.018656716
RED,25.5,21,0.019589552
RED,25.5,22,0.020522388
RED,26.5,23,0.021455224
RED,26.5,24,0.02238806
RED,26.5,25,0.023320896
RED,26.5,26,0.024253731
RED,26.5,27,0.025186567
RED,26.5,28,0.026119403
RED,28,29,0.027052239
RED,28,30,0.027985075
RED,28,31,0.02891791
RED,28,32,0.029850746
RED,28,33,0.030783582
RED,29,34,0.031716418
RED,29,35,0.032649254
RED,30,36,0.03358209
RED,30.5,37,0.034514925
RED,30.5,38,0.035447761
RED,30.5,39,0.036380597
RED,31,40,0.037313433
RED,31.5,41,0.038246269
RED,31.5,42,0.039179104
RED,32,43,0.04011194
RED,32.5,44,0.041044776
RED,32.5,45,0.041977612
RED,33,46,0.042910448
RED,34,47,0.043843284
RED,34.5,48,0.044776119
RED,34.5,49,0.045708955
RED,34.5,50,0.046641791
RED,34.5,51,0.047574627
RED,35,52,0.048507463
RED,35,53,0.049440299
RED,35.5,54,0.050373134
RED,37,55,0.05130597
RED,37,56,0.052238806
RED,37,57,0.053171642
RED,37,58,0.054104478
RED,37,59,0.055037313
RED,38.5,60,0.055970149
RED,43,61,0.056902985
RED,43,62,0.057835821
RED,43,63,0.058768657
RED,44.5,64,0.059701493
RED,46.5,65,0.060634328
RED,47,66,0.061567164
RED,48.5,67,0.0625
RED,48.5,68,0.063432836
RED,49,69,0.064365672
RED,49.5,70,0.065298507
RED,49.5,71,0.066231343
RED,50,72,0.067164179
RED,50,73,0.068097015
RED,50.5,74,0.069029851
RED,53,75,0.069962687
RED,53,76,0.070895522
RED,53,77,0.071828358
RED,57.5,78,0.072761194
RED,57.5,79,0.07369403
RED,57.5,80,0.074626866
RED,60.5,81,0.075559701
RED,61,82,0.076492537
RED,61.5,83,0.077425373
RED,61.5,84,0.078358209
RED,62.5,85,0.079291045
RED,62.5,86,0.080223881
RED,64.5,87,0.081156716
RED,65,88,0.082089552
RED,65,89,0.083022388
RED,65,90,0.083955224
RED,66,91,0.08488806
RED,67,92,0.085820896
RED,67.5,93,0.086753731
RED,67.5,94,0.087686567
RED,68,95,0.088619403
RED,68,96,0.089552239
RED,69,97,0.090485075
RED,69,98,0.09141791
RED,69,99,0.092350746
RED,69,100,0.093283582
RED,69.5,101,0.094216418
RED,70.5,102,0.095149254
RED,71,103,0.09608209
RED,71.5,104,0.097014925
RED,71.5,105,0.097947761
RED,71.5,106,0.098880597
RED,71.5,107,0.099813433
RED,71.5,108,0.100746269
RED,71.5,109,0.101679104
RED,72,110,0.10261194
RED,72.5,111,0.103544776
RED,73.5,112,0.104477612
RED,73.5,113,0.105410448
RED,74.5,114,0.106343284
RED,75,115,0.107276119
RED,75,116,0.108208955
RED,75,117,0.109141791
RED,75.5,118,0.110074627
RED,76.5,119,0.111007463
RED,78.5,120,0.111940299
RED,80,121,0.112873134
RED,80,122,0.11380597
RED,80,123,0.114738806
RED,80,124,0.115671642
RED,80,125,0.116604478
RED,80,126,0.117537313
RED,80,127,0.118470149
RED,82,128,0.119402985
RED,83.5,129,0.120335821
RED,83.5,130,0.121268657
RED,83.5,131,0.122201493
RED,84,132,0.123134328
RED,84.5,133,0.124067164
RED,85.5,134,0.125
RED,86,135,0.125932836
RED,86,136,0.126865672
RED,86.5,137,0.127798507
RED,86.5,138,0.128731343
RED,87.5,139,0.129664179
RED,90,140,0.130597015
RED,90,141,0.131529851
RED,90,142,0.132462687
RED,90.5,143,0.133395522
RED,91.5,144,0.134328358
RED,92,145,0.135261194
RED,92,146,0.13619403
RED,93,147,0.137126866
RED,93,148,0.138059701
RED,93.5,149,0.138992537
RED,93.5,150,0.139925373
RED,93.5,151,0.140858209
RED,93.5,152,0.141791045
RED,94,153,0.142723881
RED,94,154,0.143656716
RED,94.5,155,0.144589552
RED,95,156,0.145522388
